시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
제주 제주동부3,제주특별자치도 제주시 일도일동(진일여관 부근),5,5,0,3,2,0,126.5282716,33.51296517
제주 제주동부4,제주특별자치도 제주시 화북일동(동중입구 부근),4,4,0,4,0,0,126.5703185,33.51952049
제주 제주동부5,제주특별자치도 제주시 이도이동(？보원룸 부근),4,4,0,4,0,0,126.5319601,33.49364619
제주 제주동부6,제주특별자치도 제주시 일도이동(제주은행사거리 부근),4,4,0,4,0,0,126.5435828,33.50123445
제주 제주동부7,제주특별자치도 제주시 삼도일동(기아자동차(주)제주점 부근),4,4,0,2,2,0,126.5246715,33.50669474
제주 제주동부8,제주특별자치도 제주시 일도이동(사라봉오거리 부근),4,4,0,2,2,0,126.5383443,33.51408655
제주 제주동부9,제주특별자치도 제주시 이도일동(제주시산림조합 부근),4,4,0,1,3,0,126.5259875,33.50005689
제주 서귀포1,제주특별자치도 서귀포시 서홍동(중앙로타리 부근),5,5,0,5,0,0,126.5612009,33.25303336
제주 서귀포2,제주특별자치도 서귀포시 동홍동(올림픽인쇄사 부근),4,4,0,2,2,0,126.569653,33.25468794
제주 제주서부1,제주특별자치도 제주시 연동(성원카프라자 부근),9,9,1,4,2,2,126.4807186,33.4866836
제주 제주서부2,제주특별자치도 제주시 연동(그랜드호텔사거 부근),7,7,0,2,4,1,126.4897896,33.48595955
제주 제주서부3,제주특별자치도 제주시 연동(연동사거리 부근),5,5,0,0,5,0,126.4966712,33.48570148
서울 서울중부1,서울특별시 중구 흥인동(신당역 부근),14,16,0,11,4,1,127.0161756,37.56531311
서울 서울남대문1,서울특별시 중구 충무로1가(회현사거리_반포로_진출 부근),5,5,0,5,0,0,126.9823048,37.5600848
서울 서울혜화1,서울특별시 종로구 공평동(신설동역 부근),17,18,0,14,4,0,127.0232877,37.57539065
서울 서울혜화2,서울특별시 종로구 종로5가(종로5가 부근),14,14,1,9,1,3,127.0018723,37.57093789
서울 서울혜화3,서울특별시 종로구 숭인동(동묘앞역 부근),14,14,1,8,3,2,127.016035,37.57305118
서울 서울혜화4,서울특별시 종로구 명륜4가(성균관대입구 부근),8,8,0,4,3,1,126.9977875,37.58395404
서울 서울혜화5,서울특별시 종로구 효제동(이화사거리 부근),6,6,0,4,1,1,127.0038149,37.57614955
서울 서울혜화6,서울특별시 종로구 숭인동(창신쌍용아파트 부근),5,6,0,3,2,1,127.0150982,37.57803248
서울 서울서대문1,서울특별시 서대문구 영천동(금화초교앞 부근),8,8,3,3,1,1,126.9627757,37.56942199
서울 서울서부1,서울특별시 은평구 증산동(청솔식당 부근),9,9,0,7,1,1,126.9005938,37.57892169
서울 서울서부2,서울특별시 은평구 응암동(응암오거리 부근),8,9,0,4,5,0,126.9172868,37.59019342
서울 서울서부3,서울특별시 은평구 신사동(증산손칼국수 부근),6,6,0,3,3,0,126.9119739,37.58869827
서울 서울서부4,서울특별시 은평구 녹번동(은평구청입구 부근),6,6,0,3,3,0,126.9272525,37.60151511
서울 서울서부5,서울특별시 은평구 녹번동(녹번역 부근),4,4,1,2,1,0,126.9352652,37.60173542
서울 서울용산1,서울특별시 용산구 한강로3가(전자상가입구 부근),7,9,1,4,4,0,126.9691015,37.53050397
서울 서울강북1,서울특별시 강북구 미아동(미아사거리_미아로_진입_1 부근),16,17,1,12,4,0,127.0296126,37.60882459
서울 서울강북2,서울특별시 강북구 미아동(오치과의원 부근),11,11,1,4,5,1,127.0283119,37.62066876
서울 서울강북3,서울특별시 강북구 미아동(국민은행수유지점 부근),9,11,0,8,3,0,127.0238086,37.63255918
서울 서울강북4,서울특별시 강북구 미아동(동국빌딩 부근),5,6,0,2,4,0,127.0180367,37.62638352
서울 서울동대문1,서울특별시 동대문구 용두동(용두동사거리_무학로_진출_1 부근),7,7,2,2,3,0,127.0307048,37.57631353
서울 서울동대문2,서울특별시 동대문구 답십리동(장안시장 부근),6,6,1,3,1,1,127.0635351,37.56878905
서울 서울동대문3,서울특별시 동대문구 청량리동(떡전교사거리 부근),5,6,1,1,3,1,127.049988,37.58607545
